audio,text,start,end
sample-005811.mp3,in alchemy it's called the soul of the world,0.0,2.0
sample-009916.mp3,from the railway station in the distance came the sound of trains ringing and rumbling,0.0,6.24
sample-011187.mp3,it was starlight and i explained the signs of the zodiac to her,0.0,6.0
sample-013150.mp3,it's what you have always wanted to accomplish,0.0,3.0
sample-013557.mp3,i just don't trust anyone who says they've never had hamburger helper,0.0,7.0
sample-014224.mp3,and the sand and gravel had been flung violently in every direction,0.0,7.0
sample-015476.mp3,it turned out to be a bitter tea,0.0,2.0
sample-015527.mp3,i'm already used to the way things are,0.0,4.0
sample-017921.mp3,most meteorites are more or less rounded,0.0,4.0
sample-019125.mp3,coming home a party of tourists passed us singing and playing music,0.0,7.0
sample-022588.mp3,then he turned to the boy this time his expression was cold and distant,0.0,7.0
sample-022840.mp3,there were lights in the upper windows of the houses when the people went to bed,0.0,7.0
sample-024536.mp3,when he saw henderson in his garden he called over the fence and made himself understood,0.0,10.0
sample-025506.mp3,it had a diameter of about thirty yards,0.0,3.2
sample-027742.mp3,his life and his path had always provided him with enough omens,0.0,7.0
sample-027840.mp3,i remember how i sat on the table there in the blackness with patches of green and crimson swimming before my eyes,0.0,7.44
sample-035695.mp3,it looked like a rusty gas float,0.0,4.0
sample-036055.mp3,and the sand and gravel had been flung violently in every direction,0.0,7.0
sample-037579.mp3,it's extremely suspicious that there's no information about brains that didn't come from a brain,0.0,7.0
sample-040081.mp3,strange images passed through my mind,0.0,5.0
sample-042006.mp3,i heard a faint movement under my feet,0.0,5.0
sample-042637.mp3,other servants maintained the fires in the hookahs,0.0,3.0
sample-043243.mp3,it was dropping off in flakes and raining down on the sand,0.0,7.0
sample-043952.mp3,the alchemist knocked on the gate of the monastery,0.0,3.0
sample-045193.mp3,it didn't bring with it the smell of the desert nor the threat of moorish invasion,0.0,3.96
sample-045710.mp3,i don't know how to turn them into reality,0.0,7.0
sample-052593.mp3,somebody pushed against me and i almost fell into the ditch,0.0,6.0
sample-053797.mp3,but the merchant understood what the boy had said,0.0,3.0
sample-060888.mp3,first they tried to find him on their own,0.0,2.0
sample-062159.mp3,i have already found my treasure,0.0,2.0
sample-062612.mp3,in any case it's good that you've learned that everything in life has its price,0.0,6.5200000000000005
sample-066604.mp3,but the englishman appeared not to attach any importance to it,0.0,7.0
sample-066835.mp3,my review of the sun one star,0.0,3.0
sample-076511.mp3,another pause and he broke out again like one demented,0.0,5.36
sample-077937.mp3,sadly my dream of becoming a squirrel whisperer may never happen,0.0,4.0
sample-080898.mp3,if you start your emails with greetings let me be the first to welcome you to earth,0.0,7.0
sample-081250.mp3,all that time the martians must have been getting ready,0.0,4.0
sample-084512.mp3,the boy looked out at the horizon,0.0,2.0
sample-084651.mp3,you point to a trail of ants leading into the house,0.0,7.0
sample-087107.mp3,he got up early with the idea of finding it,0.0,4.0
sample-095923.mp3,the streamer of gas came out towards us,0.0,2.0
sample-099576.mp3,the boy said nothing,0.0,3.0
sample-099939.mp3,if you start your emails with greetings let me be the first to welcome you to earth,0.0,5.0
sample-101125.mp3,because i've always heard about them the boy answered saying nothing about his dream,0.0,4.12
sample-105006.mp3,the dunes are changed by the wind but the desert never changes,0.0,4.0
sample-110696.mp3,when he saw henderson in his garden he called over the fence and made himself understood,0.0,7.0
sample-112441.mp3,some went away while i was there and other people came,0.0,6.0
sample-113037.mp3,the only shadow was that of the few scattered pine trees,0.0,4.0
sample-117789.mp3,i do not know how far my experience is common,0.0,4.0
sample-118911.mp3,george's hill and the woods of painshill,0.0,5.0
sample-119663.mp3,maybe no one here knows what an alchemist is,0.0,3.0
sample-124123.mp3,everything in life is an omen said the englishman now closing the journal he was reading,0.0,4.24
sample-125124.mp3,during the third year the omens will continue to speak of your treasure and your destiny,0.0,5.0
sample-126947.mp3,the top had certainly ceased to rotate,0.0,3.0
sample-127808.mp3,i don't know the desert that well yet,0.0,2.0
sample-131335.mp3,the boy turned to the hand that wrote all,0.0,2.0
sample-134048.mp3,looking through the telescope i saw a circle of deep blue and the little round planet,0.0,6.5200000000000005
sample-144103.mp3,three armed tribesmen approached and asked what the boy and the alchemist were doing there,0.0,5.0
sample-146006.mp3,no one seemed to have thought about it that night,0.0,3.2
sample-150080.mp3,it was such a gradual movement that he found it only by noticing the dots,0.0,7.0
sample-151927.mp3,he must know how to deal with the snakes of the desert,0.0,3.0
sample-153783.mp3,the boy smiled and continued digging,0.0,4.0
sample-156090.mp3,the time must have been somewhere around six o'clock,0.0,5.0
sample-156489.mp3,but they were not there,0.0,3.0
sample-156515.mp3,you wanna take this outside,0.0,7.0
sample-156724.mp3,looking through the telescope i saw a circle of deep blue and the little round planet,0.0,7.0
sample-156729.mp3,the boy awoke before dawn,0.0,2.0
sample-158415.mp3,scattered groups of people were hurrying from the direction of woking,0.0,5.0
sample-158536.mp3,he took back his books and packed them away again in their bags,0.0,3.0
sample-162475.mp3,there was no need to imprison them the arabs simply confiscated their horses,0.0,6.0
sample-162639.mp3,the guy thought he was a lunatic at large and made an unsuccessful attempt to stop him,0.0,5.2
sample-168125.mp3,but in his heart he knew that it did matter,0.0,5.0
sample-168736.mp3,i shall make us some ice cubes,0.0,5.0
sample-169344.mp3,he wanted to say so to the alchemist but he was afraid of the man,0.0,6.0
sample-175809.mp3,thank you said the boy,0.0,2.0
sample-175999.mp3,everyone seemed very excited,0.0,3.0
sample-177797.mp3,a large piece suddenly came off and fell with a loud and sharp noise,0.0,7.0
sample-178262.mp3,the caravan moved toward the east,0.0,2.0
sample-181165.mp3,you can't believe it's not butter,0.0,3.0
sample-192710.mp3,some of the grey ash was falling off the circular edge,0.0,7.0
